path,git_status,size_bytes,type,scientific_relevance,should_commit,why,recommended_action
analysis/python/apply_ellipsoid_eigenstrain.py,untracked,4853,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/build_ellipsoid_inclusion_trial.py,untracked,11760,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/check_eigenstrain_minimized_sanity.py,untracked,2687,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/check_ellipsoid_nvt_sanity.py,untracked,2494,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/collect_eigenstrain_series_summary.py,untracked,4920,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/make_eigenstrain_visual_debug.py,untracked,3027,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/make_ellipsoid_nvt_visual_debug.py,untracked,2874,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/make_ellipsoid_visual_debug.py,untracked,2839,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/make_one_eigenstrain_input.py,untracked,1613,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/plot_ellipsoid_eigenstrain_series.py,untracked,1535,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
analysis/python/run_eigenstrain_series.py,untracked,5819,source code (Python),high,yes,"analysis/build script, reproducibility",commit: source scripts
docs/60_milestones/2026-05-12_interface_trial_001_stress_200mpa_upper_bound.md,untracked,816,markdown doc (milestone),high,yes,scientific source doc,commit: scientific source docs
docs/60_milestones/2026-05-14_article_ready_checkpoint.md,untracked,1330,markdown doc (milestone),high,yes,scientific source doc,commit: scientific source docs
docs/article/article_checklist.md,untracked,1920,markdown doc (article),high,yes,scientific source doc,commit: scientific source docs
docs/article/article_results_draft.md,untracked,6864,markdown doc (article),high,yes,scientific source doc,commit: scientific source docs
docs/article/eigenstrain_model.md,untracked,1698,markdown doc (article),high,yes,scientific source doc,commit: scientific source docs
docs/article/figure_plan.md,untracked,1893,markdown doc (article),high,yes,scientific source doc,commit: scientific source docs
docs/article/final_manuscript_v1.md,untracked,8813,markdown doc (article),high,yes,scientific source doc,commit: scientific source docs
docs/article/references.md,untracked,1221,markdown doc (article),high,yes,scientific source doc,commit: scientific source docs
docs/article/selected_figures_checklist.md,untracked,1346,markdown doc (article),high,yes,scientific source doc,commit: scientific source docs
docs/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_epsz_p0p00250_check.md,untracked,2433,markdown doc (ellipsoid check),high,yes,scientific source doc,commit: scientific source docs
docs/ellipsoid_inclusion/ellipsoid_trial_001_eigenstrain_series_check.md,untracked,2962,markdown doc (ellipsoid check),high,yes,scientific source doc,commit: scientific source docs
docs/ellipsoid_inclusion/ellipsoid_trial_001_nvt_300k_baseline.md,untracked,2116,markdown doc (ellipsoid check),high,yes,scientific source doc,commit: scientific source docs
docs/interface_trial_001_stress_200mpa_check.md,untracked,3159,markdown doc (check),high,yes,scientific source doc,commit: scientific source docs
