claim_id,type,confidence,safe_for_article,claim_en,claim_ru,source_path,source_pointer,caveat
C01,verified_fact,high,yes,"Pure-Al fcc baseline relaxation completed without ERROR/nan/lost atoms (Dangerous builds 0,0); pressure relaxed from 23601 to ~0 bar after box/relax.","Релаксация baseline чистого fcc-Al завершена без ERROR/nan/потери атомов (Dangerous builds 0,0); давление снизилось с 23601 до ~0 bar после box/relax.",docs/al_relaxation_check.md,tables 'Результаты' + 'Вывод',Baseline only; 41.12 A box is not a validated experimental lattice constant.
C02,verified_fact,high,yes,"Standalone Fe4Al13/Al13Fe4 (102 atoms) passed a MEAM stability sanity-run: minimization+box/relax converged, NPT 5000 steps with no ERROR/nan/lost atoms; composition 78 Al / 24 Fe preserved.","Standalone Fe4Al13/Al13Fe4 (102 атома) прошёл sanity-проверку устойчивости на MEAM: minimization+box/relax сошлись, NPT 5000 шагов без ERROR/nan/потери атомов; состав 78 Al / 24 Fe сохранён.",docs/al13fe4_relaxation_check.md,tables 'Результаты' + 'Вывод',"102-atom cell gives strong pressure fluctuation; sanity baseline, not potential validation."
C03,verified_fact,high,yes,"The Fe4Al13/Al13Fe4 structure source is Crystallography Open Database entry COD 1571554 (Al78Fe24, 102 atoms, space group C2/m).","Источник структуры Fe4Al13/Al13Fe4 — Crystallography Open Database, запись COD 1571554 (Al78Fe24, 102 атома, пр. гр. C2/m).",docs/al13fe4_relaxation_check.md,section 'Структура',Use Fe4Al13/Al13Fe4 as the phase name; FeAl3 is an approximate variant.
C04,verified_fact,high,yes,"The selected interface candidate is Al(111)/Fe4Al13(100), the top-ranked match (max length mismatch 0.943%, angle delta 0.114 deg).","Выбранный кандидат интерфейса — Al(111)/Fe4Al13(100), кандидат №1 по фильтру (max mismatch 0.943%, angle delta 0.114 град).",docs/interface_mismatch_candidates.md,'Interpretation' + ranked table row 1,Numeric ranking only; not a crystallographically proven orientation relationship.
C05,verified_fact,high,yes,"Flat interface trial_001 contains 618 atoms (522 Al type 1, 96 Fe type 2; Al slab 210, Fe4Al13 slab 408).","Плоский интерфейс trial_001 содержит 618 атомов (522 Al тип 1, 96 Fe тип 2; Al-слой 210, Fe4Al13-слой 408).",docs/interface_trial_001_check.md,table 'Фактическая система',
C06,verified_fact,high,yes,"The flat-interface boundary condition is 'p p f' (periodic in x,y; free in z).","Граничное условие плоского интерфейса — 'p p f' (периодика по x,y; свободная по z).",docs/interface_trial_001_check.md,'Параметры сборки' / nvt_check,Free-z fixed-box slab keeps average pressure negative; not a defect.
C07,verified_fact,high,yes,An unloaded NVT at 300 K was run for the interface (short 5000-step and long 20000-step runs).,Для интерфейса проведён ненагруженный NVT при 300 K (короткий 5000 шагов и длинный 20000 шагов).,docs/interface_trial_001_nvt_check.md; docs/interface_trial_001_time_averaged_stress.md,sections 1-3,
C08,verified_fact,high,yes,Interface minimization converged by energy tolerance (force two-norm 25.72 -> 0.315; no ERROR/nan/lost; Dangerous builds 0).,Минимизация интерфейса сошлась по energy tolerance (force two-norm 25.72 -> 0.315; без ERROR/nan/потери; Dangerous builds 0).,docs/interface_trial_001_check.md,'LAMMPS minimization' table,LAMMPS warned about large triclinic skew (geometric risk).
C09,verified_fact,high,yes,"0, 60, 120 and 147 MPa compression scenarios completed as controlled numerical sanity-runs.","Сценарии 0, 60, 120 и 147 MPa завершены как controlled numerical sanity-runs.",results/tables/interface_trial_001_stress_000_060_120_147_200mpa_comparison.csv; per-MPa check docs,verdict column,"Protocols differ: 0 MPa=5000, 60 MPa=10000, 120/147/200 MPa=15000 steps."
C10,verified_fact,high,yes,The 200 MPa compression scenario completed (15000 steps) and was accepted as a controlled upper-bound / failure-probe after manual OVITO review.,Сценарий 200 MPa завершён (15000 шагов) и принят как controlled upper-bound / failure-probe после ручного OVITO-обзора.,docs/interface_trial_001_stress_200mpa_check.md; docs/60_milestones/2026-05-12_interface_trial_001_stress_200mpa_upper_bound.md,'Status'/'Verdict',Upper-bound / numerical probe ONLY; not a material strength claim.
