category,path,size_mb,commit_status,reason
committed_source,analysis/python/**,0.72,committed,"MD/анализ-пайплайн: stage_runner, science_optimizer, event_pipeline, builders, eigenstrain, DXA-анализ"
committed_source,scripts/**,0.06,committed,"runner/monitor/launch/queue/event-dry-run скрипты"
committed_source,tests/**,0.05,committed,"unit-тесты: gates, runtime, focus transition, event pipeline, stageC queue"
committed_config,configs/*.yaml,0.05,committed,"конфиги stage sweep / focused 100k / Stage C 1M / оптимизатора"
committed_report,README.md,0.05,committed,"обновлённый README с текущей цепочкой расчёта и статусом"
committed_report,docs/**/*.md,0.60,committed,"milestones, run_plans, article drafts, audits, индекс, paper"
committed_report,docs/reports/stageB_focused_100k_and_stageC_1M_report.md,0.05,committed,"научный отчёт (Markdown-источник)"
committed_report,docs/reports/stageB_focused_100k_and_stageC_1M_report.pdf,0.20,committed,"научный отчёт (PDF, A4, русский, ГОСТ-подобный)"
committed_report,docs/reports/stageB_focused_100k_and_stageC_1M_report.tex,0.02,committed,"LaTeX-источник PDF-отчёта (xelatex); DOCX не сформирован — LibreOffice headless нестабилен, формат опционален"
committed_summary_data,results/stageB_focused_100k_summary.csv,0.002,committed,"сводная таблица по двум focused-вариантам"
committed_summary_data,results/stageB_focused_100k_summary.md,0.01,committed,"научное описание итогов focused 100k"
committed_summary_data,results/stageB_focused_100k_artifacts/**,0.03,committed,"малые подтверждающие артефакты: analysis.json, defect_summary, отчёты, eigenstrain build reports"
committed_summary_data,results/stageC_1M_queue/**,0.04,committed,"малые launch/queue артефакты активного Stage C 1M"
committed_summary_data,results/figures/**,1.90,committed,"финальные фигуры (профили напряжений/деформации, eigenstrain-серия); каждый PNG < 0.22 MB"
committed_summary_data,results/tables/**,0.50,committed,"малые таблицы анализа интерфейса и эллипсоида"
committed_summary_data,results/reports/run_report.md,0.03,committed,"сводный отчёт по run-ам (Markdown)"
excluded_large_dump,runs/**/*.lammpstrj,2647.8,excluded,"сырые MD-траектории (188 файлов, до 70.4 MB каждый); .gitignore *.lammpstrj"
excluded_restart,runs/**/restart.*,786.2,excluded,"бинарные restart-чекпойнты (130 файлов, ~9 MB каждый)"
excluded_cache,.venv/,n/a,excluded,"локальное Python-окружение; .git/info/exclude + .gitignore"
excluded_cache,**/__pycache__/,n/a,excluded,"кэш байткода Python; .gitignore"
excluded_cache,.pytest_cache/,n/a,excluded,"кэш pytest; .gitignore"
excluded_temp,monitor_snapshots/,5.9,excluded,"снапшоты watchdog-мониторинга (39 файлов); .gitignore"
excluded_temp,status_dump_*.txt,0.06,excluded,"дампы статуса (status_dump_20260616_020108.txt); .gitignore"
local_only_raw_data,runs/stageB_nearGB_vacancies_focus_100k/20260615-215533/,1757.1,local_only,"полный focused run root (263 файла); малые сводки скопированы в results/"
local_only_raw_data,runs/stageC_1M_nearGB_vacancies_eps0100_100k/20260616-173123/,63.3,local_only,"активный Stage C run root (растёт); launch-артефакты скопированы в results/stageC_1M_queue/"
local_only_raw_data,runs/,4132.7,local_only,"все run roots (2004 файла) исключены из git через .git/info/exclude runs/"
