branch,model,system_or_protocol,parameter,value,notes
flat_interface,Al_Fe4Al13_flat_interface,phase,Fe4Al13 / Al13Fe4,target intermetallic phase for first approximation
flat_interface,Al_Fe4Al13_flat_interface,loading_cases,0 / 60 / 120 / 147 / 200 MPa,200 MPa treated as upper-bound / failure-probe
flat_interface,Al_Fe4Al13_flat_interface,main_outputs,local stress proxy / distance checks / OVITO review,not final physical validation
flat_interface,Al_Fe4Al13_flat_interface,boundary_artifact,fixed-bottom support,highest hydrostatic proxy appears near support
ellipsoid_baseline,Al_matrix_Fe4Al13_ellipsoid,box,64.8 x 64.8 x 97.2 A,periodic Al matrix
ellipsoid_baseline,Al_matrix_Fe4Al13_ellipsoid,atoms,24259,total atom count
ellipsoid_baseline,Al_matrix_Fe4Al13_ellipsoid,Al_atoms,24027,type 1
ellipsoid_baseline,Al_matrix_Fe4Al13_ellipsoid,Fe_atoms,232,type 2
ellipsoid_baseline,Al_matrix_Fe4Al13_ellipsoid,inclusion_axes,12 x 12 x 24 A,initial ellipsoid semi-axes
ellipsoid_baseline,Al_matrix_Fe4Al13_ellipsoid,NVT_temperature,300 K,short unloaded baseline
ellipsoid_baseline,Al_matrix_Fe4Al13_ellipsoid,timestep,0.001 ps,units metal
ellipsoid_eigenstrain,Al_matrix_Fe4Al13_ellipsoid,eigenstrain_cases,0.0010 / 0.0025 / 0.0050 / 0.0100,eps_z values
ellipsoid_eigenstrain,Al_matrix_Fe4Al13_ellipsoid,eigenstrain_transverse,eps_x = eps_y = -0.5 eps_z,volume-preserving-like surrogate
ellipsoid_eigenstrain,Al_matrix_Fe4Al13_ellipsoid,postprocessing,minimize + distance sanity + visual debug,no NVT after each eigenstrain case
all,all,potential,Jelinek 2012 MEAM Al-Si-Mg-Cu-Fe,same potential family across branches
all,all,stress_interpretation,comparative virial proxy,not absolute experimentally validated stress
